date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:01:27	101/101	---MCZ	200	added ('OK')	text/plain	date:Fri,%2028%20Jun%202024%2000:01:27%20GMT	https://digicyfr.odoo.com/robots.txt		(from )
02:01:28	22466/22466	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jun%202024%2000:01:28%20GMT	https://digicyfr.odoo.com/	/Users/mac/Downloads/digicyfrwebsite/digicyfr.odoo.com/index.html	(from )
02:01:28	21473/21473	---M--	200	added ('OK')	image/png	etag:%2266730cd3-53e1%22	https://digicyfr.odoo.com/web/image/website/1/logo?unique=555f147	/Users/mac/Downloads/digicyfrwebsite/digicyfr.odoo.com/web/image/website/1/My%20Website5f49.png	(from https://digicyfr.odoo.com/)
02:01:29	1791/1791	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Jun%202024%2016:52:35%20GMT	https://digicyfr.odoo.com/web/image/website/1/logo/300x300?unique=555f147	/Users/mac/Downloads/digicyfrwebsite/digicyfr.odoo.com/web/image/website/1/logo/My%20Website5f49.png	(from https://digicyfr.odoo.com/)
02:01:30	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2266730c54-47e%22	https://digicyfr.odoo.com/web/image/website/1/favicon?unique=555f147	/Users/mac/Downloads/digicyfrwebsite/digicyfr.odoo.com/web/image/website/1/My%20Website5f49.ico	(from https://digicyfr.odoo.com/)
02:01:31	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2266055ee4-12d68%22	https://digicyfr.odoo.com/web/static/src/libs/fontawesome/fonts/fontawesome-webfont.woff2?v=4.7.0	/Users/mac/Downloads/digicyfrwebsite/digicyfr.odoo.com/web/static/src/libs/fontawesome/fonts/fontawesome-webfont3e6e.woff2	(from https://digicyfr.odoo.com/)
02:01:33	710521/710521	---MCZ	200	added ('OK')	text/css	etag:W/%226679890f-ad779%22	https://digicyfr.odoo.com/web/assets/1/2fcbb1f/web.assets_frontend.min.css	/Users/mac/Downloads/digicyfrwebsite/digicyfr.odoo.com/web/assets/1/2fcbb1f/web.assets_frontend.min.css	(from https://digicyfr.odoo.com/)
02:01:34	27430/27430	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266730d1a-6b26%22	https://digicyfr.odoo.com/web/assets/1/708ae75/web.assets_frontend_minimal.min.js	/Users/mac/Downloads/digicyfrwebsite/digicyfr.odoo.com/web/assets/1/708ae75/web.assets_frontend_minimal.min.js	(from https://digicyfr.odoo.com/)
02:01:35	28552/28552	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jun%202024%2000:01:35%20GMT	https://digicyfr.odoo.com/contactus	/Users/mac/Downloads/digicyfrwebsite/digicyfr.odoo.com/contactus.html	(from https://digicyfr.odoo.com/)
02:01:35	21473/21473	---M--	200	added ('OK')	image/png	etag:%2266730cd3-53e1%22	https://digicyfr.odoo.com/web/image/website/1/logo/My%20Website?unique=555f147	/Users/mac/Downloads/digicyfrwebsite/digicyfr.odoo.com/web/image/website/1/logo/My%20Website5f49-2.png	(from https://digicyfr.odoo.com/)
